name,category,rating,reviews_count,latitude,longitude,address,url,imageUrls,place_type,source,location,webUrl,image,amenities,price_range,rating_cleanliness,rating_service,rating_location,rating_value,popularity_score,tags,opening_hours,best_time_to_visit,peak_hours,wheelchair_accessible,family_friendly,cuisine_type,attraction_type,star_rating
Mo:Mo Mauritius,Restaurant,4.9,52.0,-20.0262848,57.5929516,"West Wing, Lifestyle Boulevard MU, Shop B Sottise Rd, Grand Baie 30550, Mauritius",https://www.google.com/maps/search/?api=1&query=Mo%3AMo%20Mauritius&query_place_id=ChIJ657C5vOrfSEReklJr3b0xCI,https://lh5.googleusercontent.com/p/AF1QipNOxr4JZ5AbJntjuAUwxjupiaOkMv0P9Id-amZI=w408-h544-k-no,restaurant,Google Maps,,,,"Kids Menu, Wheelchair Accessible, Free Wi-Fi, Outdoor Seating, Reservation Required, Happy Hours, Private Dining, Parking, Pet-Friendly, Vegan Options",Medium,3.6,3.9,3.2,4.1,52.0,Luxury Stay,24/7,All Year,10:00 AM - 2:00 PM,yes,no,French,Historical,4-star
Zananas Restaurant,Restaurant,4.0,102.0,-20.1716696,57.5945377,"RHHV+8RM, Pamplemousses, Mauritius",https://www.google.com/maps/search/?api=1&query=Zananas%20Restaurant&query_place_id=ChIJa-iOvvlWfCERRt3b9sT0gvA,https://lh5.googleusercontent.com/p/AF1QipNWU-ZhFV6NfdpOaxsBRiwrN3KyJrknlCfweV8k=w408-h306-k-no,restaurant,Google Maps,,,,"Wheelchair Accessible, Alcohol Served, Vegan Options, Takeaway, Open Kitchen, Happy Hours, Kids Menu, Pet-Friendly, Smoking Area, Outdoor Seating",High,4.6,4.4,4.9,3.7,102.0,Great Food,10:00 AM - 6:00 PM,Summer,10:00 AM - 2:00 PM,no,no,Indian,Cultural,5-star
Restaurant Domaine The Vale,Restaurant,4.2,927.0,-20.0305153,57.6006987,"Narainen St, The Vale, Mauritius",https://www.google.com/maps/search/?api=1&query=Restaurant%20Domaine%20The%20Vale&query_place_id=ChIJMYqlo-GqfSERW3tc71uIwng,https://lh5.googleusercontent.com/p/AF1QipOV3TXzmouVlMNLhEBZHAnBlfqgKXIEjxMnZfCr=w426-h240-k-no,restaurant,Google Maps,,,,"Wheelchair Accessible, Kids Menu, Pet-Friendly, Takeaway, Reservation Required, Live Music, Vegan Options, Parking, Happy Hours, Alcohol Served",Luxury,4.9,4.4,3.3,4.4,927.0,Nature Lovers,10:00 AM - 6:00 PM,All Year,6:00 PM - 9:00 PM,no,yes,Seafood,Adventure,5-star
Flamingo Fast Food,Restaurant,4.9,17.0,-20.2477775,57.5997097,"QH2X+VVP railway square, Quartier-Militaire, Mauritius",https://www.google.com/maps/search/?api=1&query=Flamingo%20Fast%20Food&query_place_id=ChIJQVuyQ11ZfCERBtsHu1yTqSA,https://lh5.googleusercontent.com/p/AF1QipP3skUeMNrOGQdRUFjwWwRd9jD9NahetJtxhwOP=w408-h306-k-no,restaurant,Google Maps,,,,"Open Kitchen, Parking, Smoking Area, Outdoor Seating, Live Music, Takeaway, Kids Menu, Happy Hours, Free Wi-Fi, Wheelchair Accessible",Medium,3.2,4.6,3.4,3.7,17.0,Photography Hotspot,9:00 AM - 8:00 PM,Winter,3:00 PM - 6:00 PM,no,yes,French,Adventure,3-star
Briani Providence Cook,Restaurant,3.9,36.0,-20.2483504,57.6196159,"QJ29+MR5, Providence, Mauritius",https://www.google.com/maps/search/?api=1&query=Briani%20Providence%20Cook&query_place_id=ChIJ1_v_jT9YfCERAH62l4ud0Gc,https://lh5.googleusercontent.com/p/AF1QipOX8lHCSWbenyxSD4maJYwecILSZsOPG8ny66ho=w408-h306-k-no,restaurant,Google Maps,,,,"Takeaway, Parking, Kids Menu, Free Wi-Fi, Alcohol Served, Happy Hours, Wheelchair Accessible, Private Dining, Smoking Area, Live Music",Luxury,3.9,4.2,3.3,3.4,36.0,Kid-Friendly,24/7,Winter,6:00 PM - 9:00 PM,no,no,Mauritian,Shopping,3-star
Le K Restaurant,Restaurant,5.0,34.0,-20.0183099,57.5967549,"Domaine de Mahé, La Salette Rd, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Le%20K%20Restaurant&query_place_id=ChIJUff8XyirfSER0dSkXDYzp3k,https://lh5.googleusercontent.com/p/AF1QipN9i_vqr8YcQlVwPmbWuGtwA1whmCi8O6RuhU8=w408-h306-k-no,restaurant,Google Maps,,,,"Wheelchair Accessible, Kids Menu, Smoking Area, Live Music, Reservation Required, Alcohol Served, Takeaway, Outdoor Seating, Free Wi-Fi, Happy Hours",Medium,3.2,4.5,4.0,4.4,34.0,Beachfront,Closed on Sundays,Winter,6:00 PM - 9:00 PM,yes,yes,Seafood,Cultural,3-star
Chez Dhiraj Fine Foods,Restaurant,4.3,713.0,-20.2452174,57.59979,"Quartier-Militaire, Mauritius",https://www.google.com/maps/search/?api=1&query=Chez%20Dhiraj%20Fine%20Foods&query_place_id=ChIJQ4veoEpYfCERT4LQpW_9tNw,https://lh5.googleusercontent.com/p/AF1QipMEmjW-pdODhXair_5WUwJZRzIgBtSkPcfHeils=w408-h306-k-no,restaurant,Google Maps,,,,"Wheelchair Accessible, Reservation Required, Outdoor Seating, Free Wi-Fi, Kids Menu, Live Music, Happy Hours, Vegan Options, Parking, Takeaway",High,3.6,4.5,4.8,3.7,713.0,Nature Lovers,Closed on Sundays,All Year,6:00 PM - 9:00 PM,no,no,Mauritian,Adventure,4-star
Anish Ratatouille,Asian fusion restaurant,4.8,66.0,-20.2286327,57.5954383,"QHCW+G5W, Esperance, Mauritius",https://www.google.com/maps/search/?api=1&query=Anish%20Ratatouille&query_place_id=ChIJXxXw3aJZfCERAIuVQPIiWo0,https://lh5.googleusercontent.com/p/AF1QipOs-8UrlD_xiT1I7VnS31FA_P2TpI_m_TFQfJlJ=w408-h306-k-no,restaurant,Google Maps,,,,"Gym, Spa, Wi-Fi, Scuba Diving",High,3.9,3.6,3.8,4.0,66.0,Beachfront,24/7,All Year,6:00 PM - 9:00 PM,no,no,Mauritian,Scenic,5-star
Restaurant Pizzeria,Italian restaurant,5.0,2.0,-20.0131251,57.5850074,"XHPP+P2R, La Salette Rd, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Restaurant%20Pizzeria&query_place_id=ChIJH_ObZgCrfSERqAXIiUMLMIw,https://lh5.googleusercontent.com/p/AF1QipOBXi_v7qNHa0hNaYo_YiudXYQlGi_5D0-6djuG=w408-h544-k-no,restaurant,Google Maps,,,,"Breakfast Included, Free Parking, Cultural Experiences",High,4.3,4.0,3.9,4.4,2.0,Family-Friendly,24/7,All Year,6:00 PM - 9:00 PM,no,yes,Chinese,Cultural,5-star
Ismet Goolamhossen,Restaurant,5.0,3.0,-20.2522091,57.6141121,"PJX7+4J9, Railway Road, Providence, Mauritius",https://www.google.com/maps/search/?api=1&query=Ismet%20Goolamhossen&query_place_id=ChIJ0wmu3llZfCERaRFr7Dge3vM,https://lh5.googleusercontent.com/p/AF1QipOrycwwxsJHkf4CCWGOnhOXce4qmpzN_UtgV-qQ=w408-h725-k-no,restaurant,Google Maps,,,,"Pet-Friendly, Free Wi-Fi, Wheelchair Accessible, Kids Menu, Reservation Required, Outdoor Seating, Smoking Area, Vegan Options, Live Music, Happy Hours",High,3.4,3.2,4.7,3.2,3.0,Relaxing,Closed on Sundays,Summer,6:00 PM - 9:00 PM,no,no,Mauritian,Adventure,3-star
